alias,info_vis_skill,stats_skill,maths_skill,drawing_skill,computer_skill,programming_skill,cg_skill,hci_skill,user_experience_skill,communication_skill,collaboration_skill,code_repository_skill,design_skill,technical_skill,teamwork_skill
Monokuma,3,3,4,6,8,6,5,3,3,5,5,5,3.75,5.166666666666667,5.0
NoobKiz,7,7,6,4,8,8,4,7,5,7,7,9,5.75,7.0,7.0
Rella666,6,5,6,7,6,3,5,5,3,7,7,2,5.25,4.5,7.0
Kropotkin42,3,4,5,8,7,4,4,1,6,9,6,7,4.5,5.166666666666667,7.5
Kyrie11,5,6,4,4,6,6,3,5,5,5,9,6,4.75,5.166666666666667,7.0
chiri,5,2,2,9,7,6,3,6,4,5,5,9,6.0,4.833333333333333,5.0
Superwoman97,2,3,5,6,7,2,1,3,6,10,5,4,4.25,3.6666666666666665,7.5
cowboy55,5,3,5,5,8,6,3,5,5,10,8,6,5.0,5.166666666666667,9.0
phips77,3,6,3,4,5,3,1,1,6,9,8,6,3.5,4.0,8.5
Vis81,3,5,5,6,7,5,2,4,3,4,7,6,4.0,5.0,5.5
Ellakingen,3,1,5,7,7,7,2,2,2,10,5,5,3.5,4.5,7.5
Cinnamon-Bun,3,5,7,4,9,6,2,3,1,8,7,7,2.75,6.0,7.5
Lapalus ,6,6,5,9,8,8,4,6,8,7,8,6,7.25,6.166666666666667,7.5
4LB4,3,3,5,7,7,5,2,5,5,7,8,5,5.0,4.5,7.5
Ray Primary,4,4,8,6,9,7,5,3,2,9,7,7,3.75,6.666666666666667,8.0
papi33,1,1,2,8,4,3,1,1,2,1,4,3,3.0,2.3333333333333335,2.5
Mustang22,3,4,6,7,7,5,2,3,5,7,6,3,4.5,4.5,6.5
e4c6,2,3,4,1,4,3,3,2,2,6,7,4,1.75,3.5,6.5
DancingTomato2,2,4,5,6,8,7,2,2,1,10,8,7,2.75,5.5,9.0
Frogster,3,1,5,7,7,6,1,4,4,6,6,6,4.5,4.333333333333333,6.0
swoop11,3,6,6,4,8,7,2,4,6,8,8,10,4.25,6.5,8.0
Maximillianmus,1,4,4,6,7,6,5,4,1,4,5,4,3.0,5.0,4.5
hexachord,4,6,7,4,8,8,5,4,4,7,7,8,4.0,7.0,7.0
Mark Hamill,2,2,3,2,6,3,3,4,3,8,7,1,2.75,3.0,7.5
Spike123,5,7,8,7,8,7,1,1,5,7,7,7,4.5,6.333333333333333,7.0
sejfz,1,3,6,10,9,6,5,6,7,3,6,6,6.0,5.833333333333333,4.5
Lol123,1,2,4,1,3,2,1,1,2,6,5,1,1.25,2.1666666666666665,5.5
Pencil12,6,5,6,7,8,6,2,5,4,8,7,6,5.5,5.5,7.5
Jericho,5,5,6,4,6,6,5,3,2,3,5,4,3.5,5.333333333333333,4.0
no one,3,6,8,1,8,8,7,3,1,5,5,5,2.0,7.0,5.0
C3I2,6,9,6,2,8,6,5,6,7,8,6,6,5.25,6.666666666666667,7.0
Monsterhunter98,4,4,6,4,7,7,4,4,4,6,6,6,4.0,5.666666666666667,6.0
raspberry666,1,3,6,3,7,6,5,6,2,8,7,3,3.0,5.0,7.5
User14,3,5,5,5,8,5,3,6,6,10,8,4,5.0,5.0,9.0
solarpunk,4,3,5,9,9,5,5,6,6,10,10,4,6.25,5.166666666666667,10.0
shuriken,3,3,3,3,7,7,3,3,3,7,4,10,3.0,5.5,5.5
seed2,3,5,5,3,7,3,1,3,3,7,8,1,3.0,3.6666666666666665,7.5
Unchain,1,2,2,9,9,9,5,7,1,9,9,7,4.5,5.666666666666667,9.0
AGreatAlias19,1,2,5,7,7,2,1,3,6,10,8,2,4.25,3.1666666666666665,9.0
ratponto,6,8,8,7,9,7,5,7,6,6,7,7,6.5,7.333333333333333,6.5
Banana,2,3,7,3,8,5,1,2,2,10,9,7,2.25,5.166666666666667,9.5
JoHa,6,9,9,8,9,8,7,6,6,7,6,9,6.5,8.5,6.5
ginger,1,5,8,5,6,10,6,5,1,1,7,9,3.0,7.333333333333333,4.0
